Player,Position,Apperances,Goals,xG,xAG,Assists,Progessive Carries,Progessive Passes,Progessive Passes Received,Yellow Cards,Red Cards,PPG,Mins Played,GWs Missed (Inj & Susp),Goals per 90,xG per 90,xAG per 90,Assists per 90,Progressive Carries per 90,Progressive Passes per 90,Progressive Passes Received per 90,Yellow Cards per 90,Red Cards per 90
Eric Garcia,"DEF, MID",29,1,2.5,1.4,1,23,154,33,2,0,2.45,2195,0,0.04100227790432802,0.10250569476082004,0.05740318906605922,0.04100227790432802,0.9430523917995445,6.314350797266515,1.3530751708428246,0.08200455580865604,0.0
Pau Cubarsi,DEF,25,0,0.3,0.3,0,17,92,1,1,0,2.44,2043,0,0.0,0.013215859030837005,0.013215859030837005,0.0,0.748898678414097,4.052863436123348,0.04405286343612335,0.04405286343612335,0.0
Jules Kounde,DEF,28,3,1.5,1.8,2,34,102,91,4,0,2.43,2139,0,0.12622720897615708,0.06311360448807854,0.07573632538569425,0.08415147265077139,1.4305750350631135,4.29172510518934,3.8288920056100983,0.16830294530154277,0.0
Lamine Yamal,FWD,24,10,7.1,7.5,11,135,108,208,3,0,2.46,1974,4,0.45592705167173253,0.32370820668693007,0.3419452887537994,0.5015197568389057,6.155015197568389,4.924012158054711,9.483282674772036,0.13677811550151975,0.0
Ferran Torres,FWD,26,15,10.9,1.9,1,9,22,100,2,0,2.38,1569,1,0.8604206500956023,0.6252390057361377,0.1089866156787763,0.05736137667304015,0.5162523900573613,1.2619502868068835,5.736137667304016,0.1147227533460803,0.0
Pedri,MID,23,2,1.3,3.4,7,62,176,66,1,1,2.52,1669,4,0.10784901138406232,0.0701018573996405,0.18334331935290593,0.37747153984421805,3.3433193529059317,9.490713001797484,3.5590173756740566,0.05392450569203116,0.05392450569203116
Alejandro Balde,DEF,24,0,0.3,1.7,3,45,77,133,3,0,2.33,1754,4,0.0,0.015393386545039908,0.08722919042189281,0.15393386545039908,2.309007981755986,3.95096921322691,6.824401368301026,0.15393386545039908,0.0
Gerard Martin,DEF,27,0,0.1,0.5,0,16,93,46,5,0,2.41,1373,0,0.0,0.006554989075018209,0.03277494537509104,0.0,1.0487982520029133,6.096139839766934,3.0152949745083757,0.3277494537509104,0.0
Frankie De Jong,MID,23,0,0.7,2.3,4,43,146,28,4,2,2.3,1705,3,0.0,0.03695014662756598,0.12140762463343109,0.21114369501466276,2.2697947214076244,7.706744868035191,1.4780058651026393,0.21114369501466276,0.10557184750733138
Raphinha,FWD,18,11,6.0,3.0,5,45,37,119,2,0,2.72,1124,6,0.8807829181494662,0.4804270462633452,0.2402135231316726,0.40035587188612104,3.603202846975089,2.962633451957295,9.52846975088968,0.16014234875444838,0.0
Dani Olmo,MID,21,5,3.8,2.4,2,21,60,66,1,0,2.38,1094,5,0.4113345521023766,0.3126142595978062,0.19744058500914075,0.16453382084095064,1.727605118829982,4.936014625228519,5.429616087751371,0.08226691042047532,0.0
Robert Lewandowski,FWD,21,10,8.5,1.1,2,7,13,52,1,0,2.38,1030,3,0.8737864077669902,0.7427184466019419,0.09611650485436893,0.17475728155339806,0.6116504854368932,1.1359223300970873,4.543689320388349,0.08737864077669903,0.0
Fermin Lopez,MID,21,8,3.8,4.1,10,29,56,92,4,0,2.55,1348,5,0.5341246290801187,0.25370919881305637,0.2737388724035608,0.6676557863501484,1.9362017804154303,3.7388724035608307,6.142433234421365,0.26706231454005935,0.0
Ronaldo Araujo,DEF,16,2,0.4,0.0,0,11,36,5,2,1,2.31,887,5,0.2029312288613303,0.04058624577226607,0.0,0.0,1.1161217587373167,3.652762119503946,0.5073280721533258,0.2029312288613303,0.10146561443066515
Roony Bardghji,FWD,14,2,1.0,1.1,4,13,14,40,0,0,2.43,413,0,0.4358353510895884,0.2179176755447942,0.23970944309927364,0.8716707021791767,2.8329297820823247,3.0508474576271185,8.716707021791768,0.0,0.0
Marcus Rashford,FWD,28,7,5.1,4.6,11,64,57,201,2,0,2.43,1718,1,0.36670547147846333,0.2671711292200233,0.24097788125727587,0.5762514551804423,3.352735739231665,2.9860302677532014,10.529685681024446,0.10477299185098952,0.0
Marc Casado,MID,19,0,0.3,0.2,1,8,37,10,2,0,2.58,871,0,0.0,0.03099885189437428,0.02066590126291619,0.10332950631458095,0.8266360505166476,3.823191733639495,1.0332950631458095,0.2066590126291619,0.0
Marc Bernal,MID,12,0,0.0,0.0,1,1,8,4,2,0,2.75,273,3,0.0,0.0,0.0,0.32967032967032966,0.32967032967032966,2.6373626373626373,1.3186813186813187,0.6593406593406593,0.0
Andreas Christensen,DEF,17,1,0.1,0.0,0,4,16,0,1,0,2.35,515,17,0.17475728155339806,0.017475728155339806,0.0,0.0,0.6990291262135923,2.796116504854369,0.0,0.17475728155339806,0.0
Dro Fernandez,MID,5,0,0.0,0.3,1,1,8,7,0,0,3.0,148,2,0.0,0.0,0.18243243243243246,0.6081081081081081,0.6081081081081081,4.864864864864865,4.256756756756757,0.0,0.0
Joao Cancelo,DEF,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,
Jofre Torrents,DEF,4,0,0.0,0.0,0,0,1,0,0,0,3.0,110,0,0.0,0.0,0.0,0.0,0.0,0.8181818181818181,0.0,0.0,0.0
Gavi,MID,2,0,0.0,0.2,1,1,11,3,0,0,3.0,66,23,0.0,0.0,0.2727272727272727,1.3636363636363638,1.3636363636363638,15.0,4.090909090909091,0.0,0.0
Joan Garcia,GK,19,0,0.0,0.0,0,0,0,0,1,0,2.74,1710,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368425,0.0
Marc-Andre ter Stegen,GK,1,0,0.0,0.0,0,0,0,0,0,0,3.0,90,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wojciech Szczesny,GK,9,0,0.0,0.0,0,0,0,0,0,0,1.78,810,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
